threshold,FAR,FRR,abs_diff
0.1,1.0,0.0,1.0
0.11440677966101695,1.0,0.0,1.0
0.1288135593220339,1.0,0.0,1.0
0.14322033898305087,1.0,0.0,1.0
0.1576271186440678,1.0,0.0,1.0
0.17203389830508475,1.0,0.0,1.0
0.1864406779661017,1.0,0.0,1.0
0.20084745762711864,1.0,0.0,1.0
0.21525423728813559,1.0,0.0,1.0
0.22966101694915256,1.0,0.0,1.0
0.2440677966101695,1.0,0.0,1.0
0.2584745762711864,1.0,0.0,1.0
0.2728813559322034,1.0,0.0,1.0
0.2872881355932203,1.0,0.0,1.0
0.3016949152542373,1.0,0.0,1.0
0.31610169491525425,1.0,0.0,1.0
0.3305084745762712,1.0,0.0,1.0
0.34491525423728814,1.0,0.0,1.0
0.3593220338983051,1.0,0.0,1.0
0.3737288135593221,1.0,0.0,1.0
0.38813559322033897,1.0,0.0,1.0
0.40254237288135597,1.0,0.0,1.0
0.41694915254237286,1.0,0.0,1.0
0.43135593220338986,1.0,0.0,1.0
0.44576271186440675,1.0,0.0,1.0
0.46016949152542375,1.0,0.0,1.0
0.47457627118644063,1.0,0.0,1.0
0.48898305084745763,1.0,0.0,1.0
0.5033898305084746,0.9976931949250288,0.0025,0.9951931949250289
0.5177966101694915,0.9965397923875432,0.0025,0.9940397923875433
0.5322033898305085,0.9965397923875432,0.0025,0.9940397923875433
0.5466101694915254,0.994232987312572,0.0025,0.9917329873125721
0.5610169491525424,0.9919261822376009,0.0025,0.9894261822376009
0.5754237288135593,0.9884659746251442,0.0025,0.9859659746251442
0.5898305084745763,0.9850057670126874,0.0025,0.9825057670126874
0.6042372881355932,0.9792387543252595,0.0075,0.9717387543252596
0.6186440677966102,0.9734717416378316,0.015,0.9584717416378316
0.6330508474576271,0.9711649365628604,0.0175,0.9536649365628604
0.6474576271186441,0.9642445213379469,0.0175,0.946744521337947
0.661864406779661,0.9607843137254902,0.02,0.9407843137254902
0.676271186440678,0.9550173010380623,0.03,0.9250173010380622
0.6906779661016949,0.9457900807381776,0.0375,0.9082900807381776
0.7050847457627119,0.9354094579008074,0.0475,0.8879094579008074
0.7194915254237289,0.9215686274509803,0.0525,0.8690686274509803
0.7338983050847457,0.9134948096885813,0.0525,0.8609948096885813
0.7483050847457627,0.9054209919261822,0.0575,0.8479209919261822
0.7627118644067796,0.8858131487889274,0.065,0.8208131487889274
0.7771186440677966,0.8419838523644751,0.0725,0.7694838523644751
0.7915254237288135,0.7958477508650519,0.08,0.7158477508650519
0.8059322033898305,0.7370242214532872,0.1,0.6370242214532872
0.8203389830508474,0.6562860438292965,0.1075,0.5487860438292964
0.8347457627118644,0.5847750865051903,0.145,0.43977508650519026
0.8491525423728813,0.4728950403690888,0.18,0.2928950403690888
0.8635593220338983,0.3552479815455594,0.2425,0.11274798154555943
0.8779661016949153,0.2306805074971165,0.3225,0.09181949250288352
0.8923728813559322,0.10957324106113034,0.4175,0.30792675893886967
0.9067796610169492,0.03344867358708189,0.5625,0.5290513264129181
0.9211864406779661,0.00922722029988466,0.705,0.6957727797001153
0.9355932203389831,0.0,0.7975,0.7975
0.95,0.0,0.89,0.89
